id,name,type,expansion,link,parentOverride,nameOverride,comment
124,Plaguelands: The Scarlet Enclave,StartingZone,WotLK,,,,
174,The Lost Isles,StartingZone,Cata,,,,
175,Kaja'mite Cavern,,Cata,174,,,
176,Volcanoth's Lair,,Cata,174,,,
177,Gallywix Labor Mine,,Cata,174,,,
178,Gallywix Labor Mine,,Cata,174,,,
179,Gilneas,StartingZone,Cata,,,,
180,Emberstone Mine,,Cata,179,,,
181,Greymane Manor,,Cata,179,,,
182,Greymane Manor,,Cata,179,,,
194,Kezan,StartingZone,Cata,,,,
195,Kaja'mine,,Cata,194,,,
196,Kaja'mine,,Cata,194,,,
197,Kaja'mine,,Cata,194,,,
202,Gilneas City,,Cata,179,,,
460,Shadowglen,StartingZone,Vanilla,,,,
461,Valley of Trials,StartingZone,Vanilla,,,,
462,Camp Narache,StartingZone,Vanilla,,,,
463,Echo Isles,StartingZone,Vanilla,,,,
464,Spitescale Cavern,,Vanilla,463,,,
465,Deathknell,StartingZone,Vanilla,,,,
466,Night Web's Hollow,,Vanilla,465,,,
467,Sunstrider Isle,StartingZone,TBC,,,,
468,Ammen Vale,StartingZone,TBC,,,,
469,New Tinkertown,StartingZone,Vanilla,,,,
470,Frostmane Hold,,Vanilla,469,,,
993,Broken Isles,TaxiAndAdventure,Legion,,,,
994,Argus,TaxiAndAdventure,Legion,,,,
1011,Zandalar,TaxiAndAdventure,BfA,,,,
1014,Kul Tiras,TaxiAndAdventure,BfA,,,,
1187,Azsuna,TaxiAndAdventure,Legion,,,,
1188,Val'sharah,TaxiAndAdventure,Legion,,,,
1189,Highmountain,TaxiAndAdventure,Legion,,,,
1190,Stormheim,TaxiAndAdventure,Legion,,,,
1191,Suramar,TaxiAndAdventure,Legion,,,,
1192,Broken Shore,TaxiAndAdventure,Legion,,,,
1193,Zuldazar,TaxiAndAdventure,BfA,,,,
1194,Nazmir,TaxiAndAdventure,BfA,,,,
1195,Vol'dun,TaxiAndAdventure,BfA,,,,
1196,Tiragarde Sound,TaxiAndAdventure,BfA,,,,
1197,Drustvar,TaxiAndAdventure,BfA,,,,
1198,Stormsong Valley,TaxiAndAdventure,BfA,,,,
1208,Eastern Kingdoms,TaxiAndAdventure,Vanilla,,,,
1209,Kalimdor,TaxiAndAdventure,Vanilla,,,,
1244,Arathi Highlands,TaxiAndAdventure,Vanilla,,,,
1245,Badlands,TaxiAndAdventure,Vanilla,,,,
1246,Blasted Lands,TaxiAndAdventure,Vanilla,,,,
1247,Tirisfal Glades,TaxiAndAdventure,Vanilla,,,,
1248,Silverpine Forest,TaxiAndAdventure,Vanilla,,,,
1249,Western Plaguelands,TaxiAndAdventure,Vanilla,,,,
1250,Eastern Plaguelands,TaxiAndAdventure,Vanilla,,,,
1251,Hillsbrad Foothills,TaxiAndAdventure,Vanilla,,,,
1252,The Hinterlands,TaxiAndAdventure,Vanilla,,,,
1253,Dun Morogh,TaxiAndAdventure,Vanilla,,,,
1254,Searing Gorge,TaxiAndAdventure,Vanilla,,,,
1255,Burning Steppes,TaxiAndAdventure,Vanilla,,,,
1256,Elwynn Forest,TaxiAndAdventure,Vanilla,,,,
1257,Deadwind Pass,TaxiAndAdventure,Vanilla,,,,
1258,Duskwood,TaxiAndAdventure,Vanilla,,,,
1259,Loch Modan,TaxiAndAdventure,Vanilla,,,,
1260,Redridge Mountains,TaxiAndAdventure,Vanilla,,,,
1261,Swamp of Sorrows,TaxiAndAdventure,Vanilla,,,,
1262,Westfall,TaxiAndAdventure,Vanilla,,,,
1263,Wetlands,TaxiAndAdventure,Vanilla,,,,
1264,Stormwind City,TaxiAndAdventure,Vanilla,,,,
1265,Ironforge,TaxiAndAdventure,Vanilla,,,,
1266,Undercity,TaxiAndAdventure,Vanilla,,,,
1267,Eversong Woods,TaxiAndAdventure,TBC,,,,
1268,Ghostlands,TaxiAndAdventure,TBC,,,,
1269,Silvermoon City,TaxiAndAdventure,TBC,,,,
1270,Isle of Quel'Danas,TaxiAndAdventure,TBC,,,,
1271,Gilneas,TaxiAndAdventure,Cata,,,,
1272,Vashj'ir,TaxiAndAdventure,Cata,,,,
1273,Ruins of Gilneas,TaxiAndAdventure,Cata,,,,
1274,Stranglethorn Vale,TaxiAndAdventure,Vanilla,,,,
1275,Twilight Highlands,TaxiAndAdventure,Cata,,,,
1276,Tol Barad,TaxiAndAdventure,Cata,,,,
1277,Tol Barad Peninsula,TaxiAndAdventure,Cata,,,,
1305,Durotar,TaxiAndAdventure,Vanilla,,,,
1306,Mulgore,TaxiAndAdventure,Vanilla,,,,
1307,Northern Barrens,TaxiAndAdventure,Vanilla,,,,
1308,Teldrassil,TaxiAndAdventure,Vanilla,,,,
1309,Darkshore,TaxiAndAdventure,Vanilla,,,,
1310,Ashenvale,TaxiAndAdventure,Vanilla,,,,
1311,Thousand Needles,TaxiAndAdventure,Vanilla,,,,
1312,Stonetalon Mountains,TaxiAndAdventure,Vanilla,,,,
1313,Desolace,TaxiAndAdventure,Vanilla,,,,
1314,Feralas,TaxiAndAdventure,Vanilla,,,,
1315,Dustwallow Marsh,TaxiAndAdventure,Vanilla,,,,
1316,Tanaris,TaxiAndAdventure,Vanilla,,,,
1317,Azshara,TaxiAndAdventure,Vanilla,,,,
1318,Felwood,TaxiAndAdventure,Vanilla,,,,
1319,Un'Goro Crater,TaxiAndAdventure,Vanilla,,,,
1320,Moonglade,TaxiAndAdventure,Vanilla,,,,
1321,Silithus,TaxiAndAdventure,Vanilla,,,,
1322,Winterspring,TaxiAndAdventure,Vanilla,,,,
1323,Thunder Bluff,TaxiAndAdventure,Vanilla,,,,
1324,Darnassus,TaxiAndAdventure,Vanilla,,,,
1325,Azuremyst Isle,TaxiAndAdventure,TBC,,,,
1326,The Exodar,TaxiAndAdventure,TBC,,,,
1327,Bloodmyst Isle,TaxiAndAdventure,TBC,,,,
1328,Mount Hyjal,TaxiAndAdventure,Cata,,,,
1329,Southern Barrens,TaxiAndAdventure,Vanilla,,,,
1330,Uldum,TaxiAndAdventure,Cata,,,,
1331,The Exodar,TaxiAndAdventure,TBC,,,,
1384,Northrend,TaxiAndAdventure,WotLK,,,,
1396,Borean Tundra,TaxiAndAdventure,WotLK,,,,
1397,Dragonblight,TaxiAndAdventure,WotLK,,,,
1398,Grizzly Hills,TaxiAndAdventure,WotLK,,,,
1399,Howling Fjord,TaxiAndAdventure,WotLK,,,,
1400,Icecrown,TaxiAndAdventure,WotLK,,,,
1401,Sholazar Basin,TaxiAndAdventure,WotLK,,,,
1402,The Storm Peaks,TaxiAndAdventure,WotLK,,,,
1403,Zul'Drak,TaxiAndAdventure,WotLK,,,,
1404,Wintergrasp,TaxiAndAdventure,WotLK,,,,
1405,Crystalsong Forest,TaxiAndAdventure,WotLK,,,,
1406,Hrothgar's Landing,TaxiAndAdventure,WotLK,,,,
1467,Outland,TaxiAndAdventure,TBC,,,,
1504,Nazjatar,TaxiAndAdventure,BfA,,,,
1569,Bastion,TaxiAndAdventure,SL,,,,
1643,Ardenweald,Error,,,,,
1645,Torghast,TaxiAndAdventure,SL,,,,
1647,The Shadowlands,TaxiAndAdventure,SL,,,,
1734,Revendreth,TaxiAndAdventure,SL,,,,
1738,Revendreth,TaxiAndAdventure,SL,,,,
1739,Ardenweald,TaxiAndAdventure,SL,,,,
1740,Ardenweald,TaxiAndAdventure,SL,,,,
1741,Maldraxxus,TaxiAndAdventure,SL,,,,
1742,Revendreth,TaxiAndAdventure,SL,,,,
1813,Bastion,TaxiAndAdventure,SL,,,,
1814,Maldraxxus,TaxiAndAdventure,SL,,,,
1922,Draenor,TaxiAndAdventure,WoD,,,,
1923,Pandaria,TaxiAndAdventure,MoP,,,,
2046,Zereth Mortis,TaxiAndAdventure,SL,,,,
2055,Sepulcher of the First Ones,TaxiAndAdventure,SL,,,,
2057,Dragon Isles,TaxiAndAdventure,DF,,,,
2059,Resonant Peaks,TaxiAndAdventure,SL,,,,
2127,The Waking Shores,TaxiAndAdventure,DF,,,,
2128,The Azure Span,TaxiAndAdventure,DF,,,,
2129,Ohn'ahran Plains,TaxiAndAdventure,DF,,,,
2130,Thaldraszus,TaxiAndAdventure,DF,,,,
2131,The Forbidden Reach,TaxiAndAdventure,DF,,,,
2134,Valdrakken,TaxiAndAdventure,DF,,,,
2147,Azeroth,TaxiAndAdventure,Cross,,,,
2149,Ohn'ahran Plains,TaxiAndAdventure,DF,,,,
2175,Zaralek Cavern,TaxiAndAdventure,DF,,,,
2241,Emerald Dream,TaxiAndAdventure,DF,,,,
2252,Dragon Isles,Error,,,,,
2268,Amirdrassil,TaxiAndAdventure,DF,,,,
2270,Azj' Kahet,TaxiAndAdventure,TWW,,,,
2271,Isle of Dorn,TaxiAndAdventure,TWW,,,,
2272,The Ringing Deeps,TaxiAndAdventure,TWW,,,,
2273,Hallowfall,TaxiAndAdventure,TWW,,,,
2275,11.0 - Underground [Deprecated],Error,,,,,
2276,Khaz Algar,TaxiAndAdventure,TWW,,,,
2298,Nerub-ar Palace,TaxiAndAdventure,TWW,,,,
2374,Undermine,TaxiAndAdventure,TWW,,,,
2398,K'aresh,TaxiAndAdventure,TWW,,,,
2401,Alliance Housing District,TaxiAndAdventure,Cross,,,,
2402,Horde Housing District,TaxiAndAdventure,Cross,,,,
2479,Voidstorm,TaxiAndAdventure,Midnight,,,,
2480,Harandar,TaxiAndAdventure,Midnight,,,,
2481,Eastern Kingdoms,TaxiAndAdventure,Vanilla,,,,
2540,Sunkiller Sanctum,TaxiAndAdventure,Midnight,,,,
2561,Quel'Thalas,TaxiAndAdventure,Midnight,,,,
2567,Eversong Woods,TaxiAndAdventure,Midnight,,,,
2568,Zul'Aman,TaxiAndAdventure,Midnight,,,,
2569,Isle of Quel'Danas,TaxiAndAdventure,Midnight,,,,
2622,Val,TaxiAndAdventure,Midnight,,,,
2623,Naigtal,TaxiAndAdventure,Midnight,,,,
2668,The Great Sea,Error,Midnight,,,,
