achievementId,zones
33,114
34,117
35,115
36,121
37,116
38,120
39,119
40,118
41,"113, 114, 115, 116, 117, 118, 119, 120, 121"
42,"13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 27, 32, 36, 37, 42, 47, 48, 49, 50, 51, 52, 56, 94, 95, 122, 210, 224"
43,"1, 7, 10, 12, 57, 62, 63, 64, 65, 66, 69, 70, 71, 76, 77, 78, 80, 81, 83, 97, 199"
44,"100, 101, 102, 104, 105, 107, 108, 109"
45,"113, 114, 115, 116, 117, 118, 119, 120, 121, 127"
46,"1, 7, 10, 12, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 27, 32, 36, 37, 42, 47, 48, 49, 50, 51, 52, 56, 57, 62, 63, 64, 65, 66, 69, 70, 71, 76, 77, 78, 80, 81, 83, 94, 95, 97, 100, 101, 102, 104, 105, 107, 108, 109, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 127, 198, 199, 201, 207, 210, 224, 241, 249, 371, 376, 379, 388, 390, 418, 422, 424, 525, 535, 539, 542, 543, 550, 572, 619, 630, 634, 641, 650, 680, 862, 863, 864, 875, 876, 895, 896, 942"
73,93
144,332
150,"84, 85"
154,93
155,93
156,93
157,93
158,93
159,93
161,93
162,93
165,93
166,92
167,92
168,92
199,92
200,92
201,92
202,92
203,92
204,92
206,92
207,92
208,112
209,112
211,112
212,112
213,112
214,112
216,112
218,91
219,91
220,91
221,91
222,91
223,91
224,91
225,91
226,91
227,"91, 92, 93, 112, 123, 128, 169, 206, 244, 275, 417, 423, 519, 588, 623, 907, 2345, 2397"
229,"91, 92, 93, 112, 123, 128, 169, 206, 244, 275, 417, 423, 519, 588, 623, 907, 2345, 2397"
230,"91, 92, 93, 112"
231,"91, 92, 93, 112, 123, 128, 169, 206, 244, 275, 417, 423, 519, 588, 623, 907, 2345, 2397"
233,112
255,435
259,88
263,265
272,125
273,25
275,"84, 85, 111, 2248, 2393"
279,"85, 87"
289,"1, 18, 27, 37, 94, 97"
293,125
295,242
306,210
388,"84, 87, 89, 103"
389,210
396,210
416,81
424,319
426,339
428,232
429,232
430,333
431,104
432,111
456,155
477,133
478,129
479,130
480,157
481,132
482,160
483,168
484,154
485,140
486,138
487,143
488,136
489,133
490,129
491,157
492,132
493,160
494,168
495,154
496,140
497,138
498,143
499,136
500,130
547,115
560,337
561,114
562,162
563,162
564,162
565,162
566,162
567,162
568,162
569,162
572,162
573,162
574,162
575,162
576,162
577,162
578,162
579,162
582,91
583,93
584,93
587,112
603,"84, 87, 89, 103"
604,"85, 88, 90, 110"
610,85
611,88
612,90
613,110
614,"85, 110"
615,84
616,87
617,89
618,103
619,"84, 87, 103"
622,141
623,141
624,155
625,155
627,27
628,291
629,213
630,279
631,310
632,221
633,225
634,226
635,301
636,300
637,435
638,230
639,219
640,280
641,220
642,242
643,250
644,235
645,476
646,317
647,347
648,261
649,265
650,262
651,272
652,274
653,258
654,260
655,273
656,263
657,246
658,267
659,266
660,269
661,348
666,256
667,347
668,261
669,265
670,262
671,272
672,256
673,274
674,258
675,260
676,273
677,263
