id,name,type,expansion,link,parentOverride
41,Dalaran,Skip,,,
124,Plaguelands: The Scarlet Enclave,Skip,,,
142,The Oculus,Skip,,,
153,Gundrak,Skip,,,
174,The Lost Isles,Skip,,,
175,Kaja'mite Cavern,Unknown,,174,
176,Volcanoth's Lair,Unknown,,174,
177,Gallywix Labor Mine,Unknown,,174,
178,Gallywix Labor Mine,Unknown,,174,
179,Gilneas,Skip,,,
180,Emberstone Mine,Unknown,,179,
181,Greymane Manor,Unknown,,179,
182,Greymane Manor,Unknown,,179,
194,Kezan,Skip,,,
195,Kaja'mine,Unknown,,194,
196,Kaja'mine,Unknown,,194,
197,Kaja'mine,Unknown,,194,
202,Gilneas City,Skip,,,
233,Zul'Gurub,Skip,,,
234,Dire Maul,Skip,,,
370,The Nexus,Skip,,,
378,The Wandering Isle,Skip,,,
449,Temple of Kotmogu,Skip,,,
490,Black Temple,Skip,,,
491,Black Temple,Skip,,,
492,Black Temple,Skip,,,
493,Black Temple,Skip,,,
494,Black Temple,Skip,,,
495,Black Temple,Skip,,,
496,Black Temple,Skip,,,
497,Black Temple,Skip,,,
501,Dalaran,Skip,,,
502,Dalaran,Unknown,,501,
516,Isle of Thunder,Skip,,,
517,Lightning Vein Mine,Unknown,,516,
577,Tanaan Jungle,Skip,,,
578,Umbral Halls,Unknown,,577,
594,Shattrath City,Skip,,,
645,Twisting Nether,Skip,,,
671,The Cove of Nashal,Skip,,,
672,"Mardum, the Shattered Abyss",Skip,,,
673,Cryptic Hollow,Unknown,,672,
674,Soul Engine,Unknown,,672,
675,Soul Engine,Unknown,,672,
676,Broken Shore,Skip,,,
677,Vault of the Wardens,Skip,,,
678,Vault of the Wardens,Unknown,,677,
679,Vault of the Wardens,Unknown,,677,
694,Helmouth Shallows,Skip,,,
696,Stormheim,Skip,,,
697,Azshara,Skip,,,
698,Icecrown Citadel,Skip,,,
699,Icecrown Citadel,Unknown,,698,
700,Icecrown Citadel,Unknown,,698,
701,Icecrown Citadel,Unknown,,698,
714,Niskara,Skip,,,
716,Skywall,Skip,,,
718,Dreadscar Rift,Skip,,,
723,The Violet Hold,Skip,,,
725,The Maelstrom,Skip,,,
728,Terrace of Endless Spring,Skip,,,
729,Crumbling Depths,Skip,,,
736,The Beyond,Skip,,,
737,The Vortex Pinnacle,Skip,,,
738,Firelands,Skip,,,
740,Shadowgore Citadel,Skip,,,
741,Shadowgore Citadel,Unknown,,740,
742,Abyssal Maw,Skip,,,
743,Abyssal Maw,Unknown,,742,
744,Ulduar,Skip,,,
745,Ulduar,Unknown,,744,
746,Ulduar,Unknown,,744,
748,Niskara,Skip,,,
750,Thunder Totem,Skip,,,
757,Ursoc's Lair,Skip,,,
758,Gloaming Reef,Skip,,,
759,Black Temple,Skip,,,
760,Malorne's Nightmare,Skip,,,
773,Tol Barad,Skip,,,
774,Tol Barad,Unknown,,773,
775,The Exodar,Skip,,,
776,Azuremyst Isle,Unknown,,775,
791,Temple of the Jade Serpent,Skip,,,
792,Temple of the Jade Serpent,Unknown,,791,
793,Black Rook Hold,Skip,,,
794,Karazhan,Skip,,,
795,Karazhan,Unknown,,794,
796,Karazhan,Unknown,,794,
797,Karazhan,Unknown,,794,
798,The Arcway,Skip,,,
799,The Oculus,Skip,,,
800,The Oculus,Unknown,,799,
801,The Oculus,Unknown,,799,
802,The Oculus,Unknown,,799,
803,The Oculus,Unknown,,799,
804,Scarlet Monastery,Skip,,,
805,Scarlet Monastery,Unknown,,804,
823,Pit of Saron,Skip,,,
824,Islands,Skip,,,
825,Wailing Caverns,Skip,,,
826,Cave of the Bloodtotem,Skip,,,
827,Stratholme,Skip,,,
828,The Eye of Eternity,Skip,,,
829,Halls of Valor,Skip,,,
834,Coldridge Valley,Skip,,,
835,The Deadmines,Skip,,,
836,The Deadmines,Unknown,,835,
837,Arathi Basin,Skip,,,
838,Battle for Blackrock Mountain,Skip,,,
839,The Maelstrom,Skip,,,
840,Gnomeregan,Skip,,,
841,Gnomeregan,Unknown,,840,
842,Gnomeregan,Unknown,,840,
843,Shado-Pan Showdown,Skip,,,
844,Arathi Basin,Skip,,,
857,Throne of the Four Winds,Skip,,,
858,Assault on Broken Shore,Skip,,,
859,Warsong Gulch,Skip,,,
860,The Ruby Sanctum,Skip,,,
861,"Mardum, the Shattered Abyss",Skip,,,
865,Stormheim,Skip,,,
866,Stormheim,Unknown,,865,
867,Azsuna,Skip,,,
868,Val'sharah,Skip,,,
869,Highmountain,Skip,,,
870,Highmountain,Unknown,,869,
871,The Lost Glacier,Skip,,,
872,Stormstout Brewery,Skip,,,
873,Stormstout Brewery,Unknown,,872,
874,Stormstout Brewery,Unknown,,872,
877,Fields of the Eternal Hunt,Skip,,,
879,"Mardum, the Shattered Abyss",Skip,,,
880,"Mardum, the Shattered Abyss",Unknown,,879,
881,The Eye of Eternity,Skip,,,
888,Hall of Communion,Skip,,,
889,Arcatraz,Skip,,,
890,Arcatraz,Unknown,,889,
891,Azuremyst Isle,Skip,,,
892,Azuremyst Isle,Unknown,,891,
893,Azuremyst Isle,Unknown,,891,
894,Azuremyst Isle,Unknown,,891,
904,Silithus Brawl,Skip,,,
906,Arathi Highlands,Skip,,,
908,Ruins of Lordaeron,Skip,,,
933,Forge of Aeons,Skip,,,
938,Gilneas Island,Skip,,,
939,Tropical Isle 8.0,Skip,,,
940,The Vindicaar,Skip,,,
941,The Vindicaar,Unknown,,940,
943,Arathi Highlands,Skip,,,
971,Telogrus Rift,Skip,,,
972,Telogrus Rift,Skip,,,
973,The Sunwell,Skip,,,
981,Un'gol Ruins,Skip,,,
985,Eastern Kingdoms,Skip,,,
986,Kalimdor,Skip,,,
987,Outland,Skip,,,
988,Northrend,Skip,,,
989,Pandaria,Skip,,,
990,Draenor,Skip,,,
991,Zandalar,Skip,,,
992,Kul Tiras,Skip,,,
